model,sample,gt_mean_jsw_px,pred_mean_jsw_px,gt_median_jsw_px,pred_median_jsw_px,gt_min_jsw_px,pred_min_jsw_px,gt_max_jsw_px,pred_max_jsw_px,gt_std_jsw_px,pred_std_jsw_px,gt_valid_columns,pred_valid_columns,abs_error_px,percent_error
attention_unet,9000099_dip2,3.3384615384615386,2.3448275862068964,2.0,2.0,1.0,1.0,23.0,23.0,3.7551069761548557,3.159832623993365,65,58,0.9936339522546422,29.763228984586053
attention_unet,9010370_dip2,7.357142857142857,6.839285714285714,5.0,4.0,2.0,3.0,34.0,32.0,7.465225504747642,6.691617319224014,56,56,0.5178571428571423,7.0388349514563044
attention_unet,9011918_dip2,6.173913043478261,5.173913043478261,5.0,4.0,3.0,2.0,33.0,31.0,5.10457743354406,5.021566594689583,69,69,1.0,16.19718309859155
attention_unet,9896392_pip2,9.96103896103896,7.573333333333333,5.0,3.0,1.0,1.0,58.0,53.0,13.011924160136017,11.028657619533254,77,75,2.3877056277056274,23.970447631464577
attention_unet,9896710_pip2,4.315789473684211,4.163636363636364,3.0,2.0,1.0,1.0,28.0,32.0,5.0023078699590355,6.995488510756932,57,55,0.1521531100478466,3.525498891352543
attention_unet,9896772_pip2,5.535211267605634,6.934210526315789,3.0,2.0,1.0,1.0,42.0,51.0,8.733666422569511,11.699455145113415,71,76,1.3989992587101554,25.27454131511985
attention_unet,9897279_pip2,10.986842105263158,7.868421052631579,6.0,3.0,4.0,1.0,46.0,47.0,10.508760031332045,11.329214802149396,76,76,3.1184210526315788,28.38323353293413
attention_unet,9897397_pip2,5.594202898550725,4.813953488372093,4.0,2.0,2.0,1.0,37.0,35.0,6.557038127257644,7.60433112191928,69,43,0.7802494101786319,13.947463549825287
attention_unet,9900971_pip2,6.131578947368421,6.4868421052631575,2.0,2.0,1.0,1.0,49.0,80.0,10.279440524995765,13.069141457982367,76,76,0.3552631578947363,5.793991416309003
attention_unet,9902576_pip2,8.256410256410257,7.618421052631579,3.0,3.0,1.0,1.0,49.0,54.0,11.692026537330406,11.985701026050691,78,76,0.6379892037786785,7.7271984308597705
